,,,,,,
SIT21001,1,문제해결방법론,ICT창업 주간,,,
,,(Problem Solving Approach ),이상화,,,
SIT21003,1,글로벌 기업가정신 입문,ICT창업 주간,,,
,,(Introduction to Global Entrepreneurship),정두희,,,
SIT21007,1,비즈니스 모델 혁신,ICT창업 주간,,,
,,(Business Model Innovation),이상화,,,
SIT22001,1,프로그래밍 I,ICT창업 주간,,,
,,(Programming I),한다성,,,
SIT22009,1,데이터 과학,ICT창업 주간,,,
,,(Data Science),최혜봉,,,
SIT22009,2,데이터 과학,ICT창업 주간,,,
,,(Data Science),최혜봉,,,
SIT22012,1,3D 디지털 콘텐츠 제작,ICT창업 주간,,,
,,(3D Digital Content Production),한다성,,,
SIT22013,1,ICT 문제해결 기법,ICT창업 주간,,,
,,(ICT Problem Solving),한다성,,,
SIT23005,1,제품 기획 및 개발,ICT창업 주간,,,
,,(Product Design and Development),이원섭,,,
SIT23006,1,아이디어 개발 및 프로토타이핑,ICT창업 주간,,,
,,(Ideation and Prototyping),이원섭,,,
SIT23007,1,비전 개발,ICT창업 주간,,,
,,(Entrepreneurial Vision Development),최용준,,,
SIT31005,1,"비즈니스, 문화, 영성",ICT창업 주간,,,
,,"(Business, Culture and Spirituality)",최용준,,,
SIT31007,1,기술창업론,ICT창업 주간,,,
,,(Technology Commercialization),정두희,,,
SIT32002,1,인간과 컴퓨터 상호작용,ICT창업 주간,,,
,,(Human Computer Interaction),이원섭,,,
SIT32002,2,인간과 컴퓨터 상호작용,ICT창업 주간,,,
,,(Human Computer Interaction),이원섭,,,
SIT32006,1,웹서비스 기획 및 실습,ICT창업 주간,,,
,,(Web Service Planning and Practicum),이원섭,,,
SIT33004,1,ICT창업 세미나1,ICT창업 주간,,,
,,(ICT Startup Seminar 1),최용준,,,
SIT33006,1,진로 개발,ICT창업 주간,,,
,,(Career Development),이상화,,,
SIT34003,1,개별연구,ICT창업 주간,,,
,,(Independent Study),한다성,,,
SIT34003,2,개별연구,ICT창업 주간,,,
,,(Independent Study),정두희,,,
SIT34003,3,개별연구,ICT창업 주간,,,
,,(Independent Study),최혜봉,,,
SIT34005,1,캡스톤 디자인1,ICT창업 주간,,,
,,(Capstone Design1),이상화,,,
SIT34005,2,캡스톤 디자인1,ICT창업 주간,,,
,,(Capstone Design1),김학주,,,
SIT34005,3,캡스톤 디자인1,ICT창업 주간,,,
,,(Capstone Design1),한다성,,,
SIT34005,4,캡스톤 디자인1,ICT창업 주간,,,
,,(Capstone Design1),이원섭,,,
SIT41002,1,모의투자 및 핀테크 콘텐츠 개발,ICT창업 주간,,,
,,(Investment practice and developing Fin-tech contents),김학주,,,
SIT42003,1,빅데이터 분석,ICT창업 주간,,,
,,(Big-Data Analysis),최혜봉,,,
SIT42004,1,ICT융합 특론,ICT창업 주간,,,
,,(Special Topic of ICT Convergence),조성범,,,
